name,Census Tract,latitude,longitude,Median Annual Household Income,Public Health Insurance,Black or African American Alone,Asian Alone,Some Other Race Alone,Two or More Races,Total Population,High School or Higher,Unemployment Rate,Poverty Rate,Percentage reported Diabetes,percentage Visited Dentist,Percentage reported High Blood Pressure,Percentage reported Obesity,Percentage reported Mental Distress,Renter Occupied Housing Units,Vacant Housing Units,Median Gross Rent (/month),Lack Health Insurance,Percentage reported Depression,Percentage reported Asthma,Percentage reported No Physical Leisure,Percentage reported Current Smoking,Percentage Visited Dr for Check Up,Housing Units,Percentage Overcrowded Housing Units,Private Health Insurance,Low Food Access Score
Gateway,Census Tract 6002,39.9367867,-75.1066438,26750,1081,978,26,365,226,1693,69.34,28.59,30.78,17,43.7,37.4,43.9,20.3,334,261,1479,22.7,17,12.1,39.1,20.3,77.1,877,0,500,34.04
Bergen Square,Census Tract 6004,39.9329218,-75.118088,12104,2071,1438,0,906,229,2766,57.70,34.22,54.36,15.7,32.3,40.4,47.6,24.1,728,268,906,29.8,20.1,11.7,48.6,27.6,76.1,1326,7.466063348,690,77.61
Cooper Poynt,Census Tract 6007,39.9560192,-75.1255342,29789,995,134,0,907,204,1338,41.41,11.43,36.71,18.9,37,41,44.8,22.3,190,81,659,32.2,19.5,14.3,45.2,22.1,75.1,525,3.238095238,343,8.97
Pyne Point,Census Tract 6008,39.9513992,-75.1138308,19412,3645,1332,0,2794,593,5211,36.94,14.21,39.82,21.4,31.4,35.6,46.6,22.9,1375,280,704,36.1,19.3,12.9,52.3,25.1,75.7,2005,11.02244389,968,0.31
Cramer Hill,Census Tract 6009,39.953326,-75.1015696,28198,2998,945,0,2110,221,3804,25.47,9.42,38.68,18.4,30.2,48.5,44.8,25.6,936,56,806,39.9,21.8,14.1,50.9,24.8,71.5,1278,13.06729264,844,1.16
Beideman,Census Tract 6010,39.9612414,-75.0901841,58983,3065,439,32,3761,770,5645,43.14,9.73,11.91,13.4,46.7,45.1,40.2,19.1,678,119,1226,29.7,17.5,13,38,16,73.4,1790,1.340782123,1661,44.54
Dudley,Census Tract 6011.01,39.9486791,-75.0868346,35491,1918,725,208,1804,270,3295,37.81,3.93,24.96,22.2,39,48.7,41.8,20.9,516,51,1221,34.2,18.4,12.4,43.8,20.3,73.5,900,17.33333333,908,1.64
Rosedale,Census Tract 6011.02,39.953376,-75.0787951,51741,2595,1337,617,1908,472,5044,44.01,13.15,19.22,16.9,45,38.6,38.8,18.6,568,99,950,28.7,16.9,13.1,40.2,17.7,75.3,1555,5.273311897,1852,28.39
Stockton,Census Tract 6012,39.944511,-75.0778698,44357,3438,2526,166,2616,701,6529,49.38,5.94,20.17,17.9,43,36.3,41.9,20.1,1003,60,1289,27.4,17.8,11.2,40.8,18.6,74.9,2060,2.330097087,2617,1.64
Marlton,Census Tract 6013,39.9418771,-75.0939846,31312,2946,1929,0,2088,277,4726,45.20,16.67,30.43,19.2,41.3,42.7,43.2,21,928,120,1145,28.6,18.2,11.5,41.5,19.9,74.9,1785,6.050420168,1075,0.06
Parkside,Census Tract 6014,39.9315865,-75.0944043,45662,2847,3492,6,144,262,4181,48.07,26.16,19.40,15,40.7,40.2,46.1,21.9,900,369,1268,19.4,17.7,10.6,42.4,22.9,80,1811,0,1307,6.07
Whitman Park,Census Tract 6015,39.9243304,-75.099164,31941,3440,3371,0,1432,265,5394,60.14,18.81,28.40,21.5,40.2,35.1,44.8,22,1778,409,981,21.8,18.2,10.6,42.3,22.3,77.8,2709,4.318936877,2242,5.25
Liberty Park,Census Tract 6016,39.9260337,-75.1108546,29210,1498,1725,116,277,126,2401,55.44,11.37,26.21,23.1,31.8,43.6,48.7,24.9,743,121,1017,25.4,19.6,11,48.9,27.7,78.3,1071,0,696,45.53
Centerville,Census Tract 6017,39.9199937,-75.1097457,22181,2366,1583,0,802,257,2805,41.57,25.90,42.97,14.7,30.4,35.4,51.4,25.5,944,104,906,26.9,20.4,13.4,51.6,27.8,79.6,1226,6.280587276,389,77.96
Waterfront South,Census Tract 6018,39.9179505,-75.1242548,54324,499,354,124,329,0,918,43.90,8.51,40.45,20.3,38.7,36.4,44.3,22.1,111,138,1193,24.6,18.8,10.4,42.7,23.2,76.9,506,0,314,81.58
Morgan Village,Census Tract 6019,39.9133727,-75.1090977,34796,1762,1397,80,547,258,2701,61.16,9.16,32.57,17.5,40.4,46.7,45.7,22.4,578,227,1057,21.9,18.7,11.3,41.1,21.6,78.1,1217,1.150369762,1003,42.91
Fairview,Census Tract 6020,39.9046814,-75.105114,41840,4462,3776,0,1559,338,6221,62.64,24.87,20.76,17.3,46.5,40.4,43.6,20.9,1233,385,1141,19.3,18.4,12.7,35.5,17.9,77.5,2561,1.835220617,1924,27.51
Cooper Grant,Census Tract 6103,39.9405574,-75.130422,51635,674,720,120,188,224,2274,90.55,14.15,41.01,19.4,51.9,38.5,36,19.2,934,177,1470,14.7,17.8,12.3,29.2,13.3,76.5,1252,0,1788,29.17
Lanning Square,Census Tract 6104,39.9412705,-75.1190591,38447,1807,2615,13,815,768,4853,61.43,8.24,18.62,18,42.7,47.7,41.3,21,820,175,1138,22.2,17.4,13.4,37.6,19.4,74.7,1418,4.795486601,1707,67.15
