neighborhood,ring,vertex,lat,lon
Dudley,0,0,-75.078510743491,39.9472550676365
Dudley,0,1,-75.0785357440365,39.9472520669129
Dudley,0,2,-75.0790507436255,39.9471890671541
Dudley,0,3,-75.080384744749,39.9470500669425
Dudley,0,4,-75.0805317435732,39.9470340666118
Dudley,0,5,-75.081469743947,39.9469370673602
Dudley,0,6,-75.0816647443546,39.9469160672791
Dudley,0,7,-75.0824747451616,39.9468320678804
Dudley,0,8,-75.0829927451759,39.9467760664879
Dudley,0,9,-75.0831597460273,39.9467570664582
Dudley,0,10,-75.0842217449011,39.9466350668575
Dudley,0,11,-75.0845687447929,39.9465990664105
Dudley,0,12,-75.0853307459476,39.9465090669781
Dudley,0,13,-75.0866527463601,39.9463580668144
Dudley,0,14,-75.0875207461767,39.9462670662144
Dudley,0,15,-75.0875917464223,39.94626006725
Dudley,0,16,-75.0888967466813,39.946122066372
Dudley,0,17,-75.0897297478648,39.946027066634
Dudley,0,18,-75.0905157475106,39.9459250667247
Dudley,0,19,-75.0915197474588,39.9457980670879
Dudley,0,20,-75.0923717481407,39.9456930661432
Dudley,0,21,-75.0928307484358,39.9456180668822
Dudley,0,22,-75.0932557477589,39.9455370663315
Dudley,0,23,-75.0936107486955,39.9454960665043
Dudley,0,24,-75.0942437486168,39.9458150670968
Dudley,0,25,-75.0947137491809,39.9460460670458
Dudley,0,26,-75.0955197492804,39.9464430662165
Dudley,0,27,-75.0960347483233,39.9466980659117
Dudley,0,28,-75.0964667491262,39.9469030668135
Dudley,0,29,-75.0967267500015,39.9470220663671
Dudley,0,30,-75.09680074908,39.9470590667145
Dudley,0,31,-75.0951357492112,39.9478120668948
Dudley,0,32,-75.0945307490646,39.948199066109
Dudley,0,33,-75.0941667485381,39.9484620668466
Dudley,0,34,-75.0909127473025,39.9510000678278
Dudley,0,35,-75.0905347470509,39.9512950676054
Dudley,0,36,-75.08977274769,39.9516740677009
Dudley,0,37,-75.0891997476511,39.9519600679072
Dudley,0,38,-75.0878237467213,39.9526450673152
Dudley,0,39,-75.0862707464631,39.9525710677748
Dudley,0,40,-75.085290745486,39.9520970683781
Dudley,0,41,-75.0831837452076,39.9510430680263
Dudley,0,42,-75.0817567456617,39.9503450676406
Dudley,0,43,-75.0804527438383,39.9496390677729
Dudley,0,44,-75.0792737440044,39.9492450676813
Dudley,0,45,-75.078287743552,39.9491730668668
Dudley,0,46,-75.0764347424433,39.9491190670675
Dudley,0,47,-75.0761817427927,39.9475010668308
Dudley,0,48,-75.076422742929,39.9474780671344
Dudley,0,49,-75.078510743491,39.9472550676365
Stockton,0,0,-75.0861617458254,39.9457230664094
Stockton,0,1,-75.0866527463601,39.9463580668144
Stockton,0,2,-75.0853307459476,39.9465090669781
Stockton,0,3,-75.0845687447929,39.9465990664105
Stockton,0,4,-75.0842217449011,39.9466350668575
Stockton,0,5,-75.0831597460273,39.9467570664582
Stockton,0,6,-75.0829927451759,39.9467760664879
Stockton,0,7,-75.0824747451616,39.9468320678804
Stockton,0,8,-75.0816647443546,39.9469160672791
Stockton,0,9,-75.081469743947,39.9469370673602
Stockton,0,10,-75.0805317435732,39.9470340666118
Stockton,0,11,-75.080384744749,39.9470500669425
Stockton,0,12,-75.0790507436255,39.9471890671541
Stockton,0,13,-75.0785357440365,39.9472520669129
Stockton,0,14,-75.078510743491,39.9472550676365
Stockton,0,15,-75.076422742929,39.9474780671344
Stockton,0,16,-75.0761817427927,39.9475010668308
Stockton,0,17,-75.0755557428308,39.9475700677773
Stockton,0,18,-75.075226742178,39.9475990669255
Stockton,0,19,-75.0745267418311,39.9476840675937
Stockton,0,20,-75.0743897423907,39.9477000675173
Stockton,0,21,-75.0735407418115,39.9477740677061
Stockton,0,22,-75.0727117413799,39.9478790680097
Stockton,0,23,-75.0725467415671,39.9478960678564
Stockton,0,24,-75.0718797421425,39.9479640670013
Stockton,0,25,-75.0710007416386,39.9480570682602
Stockton,0,26,-75.0707087408468,39.9480890680731
Stockton,0,27,-75.0705477410419,39.9481050672135
Stockton,0,28,-75.0702137403676,39.9481390684851
Stockton,0,29,-75.0697327404398,39.9481910678144
Stockton,0,30,-75.0679187399881,39.9483830682104
Stockton,0,31,-75.0670897410163,39.948470068161
Stockton,0,32,-75.0670157393584,39.9484780681428
Stockton,0,33,-75.0669397400262,39.9484860679385
Stockton,0,34,-75.0665477396689,39.9485270678751
Stockton,0,35,-75.0665767394565,39.9478490677172
Stockton,0,36,-75.0665977404393,39.9468350676604
Stockton,0,37,-75.066764740124,39.9468340676275
Stockton,0,38,-75.0674617403795,39.9468050680319
Stockton,0,39,-75.0677317404898,39.9468240679822
Stockton,0,40,-75.0677827400364,39.9468280677776
Stockton,0,41,-75.0678627407381,39.9468340673919
Stockton,0,42,-75.0679757401738,39.9468420678967
Stockton,0,43,-75.0683047398834,39.9468640677458
Stockton,0,44,-75.0689317401227,39.9469080681527
Stockton,0,45,-75.0691587410343,39.9469220678744
Stockton,0,46,-75.0692557409582,39.9469280677374
Stockton,0,47,-75.0694457409586,39.9469400679515
Stockton,0,48,-75.069763740964,39.9469590678797
Stockton,0,49,-75.0708157420493,39.9461250672578
Stockton,0,50,-75.071766741883,39.9453700665333
Stockton,0,51,-75.0724037409192,39.9448650670464
Stockton,0,52,-75.0725907425301,39.9447170665593
Stockton,0,53,-75.0731497419542,39.9442300669498
Stockton,0,54,-75.0738387429492,39.9435780667179
Stockton,0,55,-75.0746047424522,39.942945066755
Stockton,0,56,-75.0749997427689,39.9426180670038
Stockton,0,57,-75.0750807423039,39.942548066409
Stockton,0,58,-75.0755167424686,39.942168066326
Stockton,0,59,-75.0761227419848,39.9416390664728
Stockton,0,60,-75.0766947422557,39.941141065693
Stockton,0,61,-75.0775577434401,39.9404070657645
Stockton,0,62,-75.078412742665,39.9396890661913
Stockton,0,63,-75.0793187439983,39.9388920661335
Stockton,0,64,-75.0799747434674,39.9392000659931
Stockton,0,65,-75.0807147437876,39.9395270652395
Stockton,0,66,-75.0810617441276,39.9396810650595
Stockton,0,67,-75.0817217434571,39.9399940653844
Stockton,0,68,-75.0820307450292,39.94014006637
Stockton,0,69,-75.0820187444748,39.9402450657743
Stockton,0,70,-75.0820547446172,39.9403690660969
Stockton,0,71,-75.0822087443512,39.9406310654284
Stockton,0,72,-75.0826677442579,39.9412230658331
Stockton,0,73,-75.0831947444462,39.9419020660431
Stockton,0,74,-75.0836867454782,39.9425260660249
Stockton,0,75,-75.0841737453639,39.9431630664716
Stockton,0,76,-75.0846717457502,39.9438030663195
Stockton,0,77,-75.085172744983,39.9444490664479
Stockton,0,78,-75.0856427456734,39.9450540665551
Stockton,0,79,-75.0861617458254,39.9457230664094
Marlton,0,0,-75.0901077465524,39.9359760645249
Marlton,0,1,-75.0901267461877,39.9360910643536
Marlton,0,2,-75.0902257469479,39.9363180648442
Marlton,0,3,-75.0904147470069,39.9364330646503
Marlton,0,4,-75.0905897467091,39.9365510645754
Marlton,0,5,-75.0907647478081,39.9366480650377
Marlton,0,6,-75.0910417471288,39.9367030648473
Marlton,0,7,-75.0912187469174,39.9367670649724
Marlton,0,8,-75.0914827475789,39.9368360649158
Marlton,0,9,-75.0915337473569,39.9368690643954
Marlton,0,10,-75.0926287478699,39.9370540648306
Marlton,0,11,-75.0937647478613,39.9371170651667
Marlton,0,12,-75.0944287484845,39.9371730646415
Marlton,0,13,-75.0946807484571,39.9373140649296
Marlton,0,14,-75.0947547477661,39.9373940639229
Marlton,0,15,-75.0948297481534,39.9374750647268
Marlton,0,16,-75.0949037478182,39.9375550645209
Marlton,0,17,-75.0951927484821,39.9377730647706
Marlton,0,18,-75.0955007487482,39.9379300651168
Marlton,0,19,-75.0957737492571,39.9380600646347
Marlton,0,20,-75.0959617485976,39.9382130641784
Marlton,0,21,-75.0961927486616,39.9384090647205
Marlton,0,22,-75.0964097489315,39.9386510649668
Marlton,0,23,-75.0964227491238,39.9386660642845
Marlton,0,24,-75.0966267488353,39.9389460653315
Marlton,0,25,-75.0971237495209,39.9393110652018
Marlton,0,26,-75.0973467491463,39.9394460652223
Marlton,0,27,-75.0980917491204,39.9396780647241
Marlton,0,28,-75.098849749489,39.9398210650944
Marlton,0,29,-75.0993667499381,39.9399020650409
Marlton,0,30,-75.1000947504127,39.9400160653417
Marlton,0,31,-75.1007517511501,39.9400880649546
Marlton,0,32,-75.1012307509432,39.940179064916
Marlton,0,33,-75.1024667509119,39.9402740651154
Marlton,0,34,-75.1027457506071,39.9402770653844
Marlton,0,35,-75.1030147519038,39.9401710652523
Marlton,0,36,-75.103176751305,39.9399560650944
Marlton,0,37,-75.1033887508874,39.9397560643354
Marlton,0,38,-75.1035927508689,39.9394960652592
Marlton,0,39,-75.1037977512167,39.939258064969
Marlton,0,40,-75.1040737510153,39.939074064008
Marlton,0,41,-75.1045277518507,39.9388840642942
Marlton,0,42,-75.1050037519493,39.9387040638884
Marlton,0,43,-75.1054177512141,39.9386850639983
Marlton,0,44,-75.1056757516837,39.9387160645977
Marlton,0,45,-75.1058417525098,39.9388750653259
Marlton,0,46,-75.1059667514304,39.9391980644464
Marlton,0,47,-75.1059537518969,39.9392860642668
Marlton,0,48,-75.1059657512052,39.9397760646847
Marlton,0,49,-75.1060417514294,39.9401220653995
Marlton,0,50,-75.1061307523425,39.9404620650948
Marlton,0,51,-75.1060767519748,39.9407160649215
Marlton,0,52,-75.1059877524671,39.9410520654819
Marlton,0,53,-75.1056997520167,39.9413400648059
Marlton,0,54,-75.1054877516779,39.9415620650826
Marlton,0,55,-75.1052597515839,39.9417840647294
Marlton,0,56,-75.1051897513818,39.9418970657719
Marlton,0,57,-75.1051107521799,39.9420210654754
Marlton,0,58,-75.1050337513369,39.9421450655028
Marlton,0,59,-75.1049877516339,39.9422200653998
Marlton,0,60,-75.104710752444,39.9429650656858
Marlton,0,61,-75.1045887522243,39.9434500660148
Marlton,0,62,-75.1045107522471,39.9438760654355
Marlton,0,63,-75.1044737522725,39.9439880652853
Marlton,0,64,-75.1044357523687,39.9441050656721
Marlton,0,65,-75.104334751689,39.9444040658544
Marlton,0,66,-75.10425975176,39.9446850657416
